z_m_nap,depth_m,qc_mpa,qc_kPa,qt_kPa,sigma_v0_kPa,sigma_v0_eff_kPa,fs_kPa,Qt,Dr
-21.15,19.78,20.11,20110.0,20184.760000000002,342.98199999999997,146.582,112.0,135.36299136319604,0.6218934023567431
-21.17,19.8,20.957,20957.0,21031.34,343.39200000000005,146.79200000000003,117.0,140.93375660798952,0.634561168070366
-21.19,19.82,22.039,22039.0,22112.920000000002,343.802,147.002,118.0,148.08722330308433,0.6504662576141261
-21.21,19.84,23.345,23345.0,23419.339999999997,344.21200000000005,147.212,119.0,156.74760209765506,0.6692161771113919
-21.23,19.86,24.256,24256.0,24330.760000000002,344.622,147.422,121.0,162.7039247873452,0.6818125523450503
-21.25,19.88,25.114,25114.0,25181.2,345.03200000000004,147.632,124.0,168.23024818467542,0.6932949242250483
-21.27,19.9,25.562,25562.0,25629.2,345.442,147.84199999999998,131.0,171.0187768022619,0.6990172219465635
-21.290000000000003,19.92,25.604,25604.0,25674.140000000003,345.8520000000001,148.05200000000002,133.0,171.0769729554481,0.6991361464702567
-21.31,19.94,25.328,25328.0,25399.4,346.262,148.26199999999997,118.0,168.97882127584955,0.694835687207208
-21.33,19.96,24.931,24931.0,25002.4,346.67199999999997,148.47199999999998,101.0,166.06314995420016,0.688815027947479
-21.35,19.98,24.314,24314.0,24385.4,347.08200000000005,148.68200000000002,93.0,161.67604686512155,0.6796554733626264
-21.37,20.0,23.254,23254.0,23325.82,347.492,148.892,103.0,154.32882894984286,0.6640327637137081
-21.39,20.02,22.061,22061.0,22132.4,347.90200000000004,149.102,108.0,146.10466660406968,0.6460974420186604
-21.41,20.04,20.794,20794.0,20864.98,348.312,149.312,111.0,137.40803150450063,0.6265735198100416
-21.43,20.06,19.528,19528.0,19598.98,348.722,149.522,113.0,128.74532175867097,0.6065012584103562
-21.45,20.08,19.433,19433.0,19505.66,349.132,149.732,111.0,127.9387706034782,0.6045984986595371
-21.47,20.1,19.355,19355.0,19428.920000000002,349.542,149.94199999999998,113.0,127.24505475450509,0.602957128906016
-21.49,20.12,19.296,19296.0,19370.34,349.952,150.152,115.0,126.67422345356705,0.6016031521896119
-21.51,20.14,18.895,18895.0,18969.760000000002,350.362,150.36200000000002,111.0,123.83047578510526,0.5948120370217932
-21.53,20.16,18.163,18163.0,18237.760000000002,350.77200000000005,150.572,105.0,118.7935871211115,0.5825892626177223
-21.55,20.18,17.529,17529.0,17604.18,351.182,150.782,98.0,114.42345903357163,0.571772829598738
-21.57,20.2,17.013,17013.0,17088.18,351.592,150.992,92.0,110.84420366641942,0.5627590290356951
-21.59,20.22,16.669,16669.0,16744.18,352.002,151.202,86.0,108.41244163436991,0.5565517345593821
-21.61,20.24,16.518,16518.0,16593.18,352.412,151.41199999999998,80.0,107.26209283280059,0.5535911147945117
-21.630000000000003,20.26,16.578,16578.0,16652.34,352.82200000000006,151.622,74.0,107.50100908839086,0.5542073080107708
-21.65,20.28,16.751,16751.0,16825.760000000002,353.23199999999997,151.832,70.0,108.49180673375838,0.5567554136852924
-21.67,20.3,16.884,16884.0,16959.600000000002,353.64200000000005,152.04200000000003,67.0,109.21954459951854,0.5586195858658288
-21.69,20.32,17.112,17112.0,17187.179999999997,354.052,152.252,67.0,110.56096471639123,0.5620395632144242
-21.71,20.34,17.702,17702.0,17778.02,354.46200000000005,152.462,70.0,114.28131600005248,0.5714175756086224
-21.73,20.36,18.604,18604.0,18680.86,354.872,152.672,77.0,120.03502934395306,0.5856255003814372
-21.75,20.38,19.465,19465.0,19542.280000000002,355.28200000000004,152.882,80.0,125.50200808466663,0.5988131310819682
-21.77,20.4,19.938,19938.0,20014.86,355.692,153.09199999999998,84.0,128.4140778094218,0.6057205338848738
-21.790000000000003,20.42,20.292,20292.0,20368.86,356.1020000000001,153.30200000000002,88.0,130.54466347471003,0.6107247766260067
