z_m_nap,depth_m,qc_mpa,qc_kPa,qt_kPa,sigma_v0_kPa,sigma_v0_eff_kPa,fs_kPa,Qt,Dr
-25.45,24.0,3.312,3312.0,3404.4,434.48078328981717,195.68078328981727,53.0,15.177367786347826,0.20824002487752874
-25.47,24.02,3.334,3334.0,3426.4,434.8884281984333,195.88842819843345,56.0,15.271507354029044,0.20888484424287151
-25.49,24.04,3.383,3383.0,3474.98,435.29607310704955,196.09607310704962,59.0,15.50099335866647,0.2104484555736458
-25.51,24.06,3.338,3338.0,3429.1400000000003,435.7037180156658,196.30371801566585,58.0,15.249004513228048,0.20873088972049322
-25.53,24.08,3.335,3335.0,3423.2,436.11136292428193,196.51136292428203,58.0,15.2005898927416,0.2083992726388568
-25.55,24.1,3.45,3450.0,3538.6200000000003,436.5190078328981,196.71900783289823,61.0,15.769198037040544,0.21226128128889066
-25.57,24.12,3.581,3581.0,3672.56,436.9266527415143,196.9266527415144,64.0,16.430652236320558,0.21666730412132235
-25.59,24.14,3.76,3760.0,3847.78,437.33429765013045,197.13429765013058,62.0,17.300113389718977,0.2223261014797792
-25.61,24.16,3.733,3733.0,3821.2000000000003,437.7419425587467,197.34194255874678,61.0,17.145154312211307,0.22132816173669945
-25.63,24.18,4.021,4021.0,4111.72,438.14958746736284,197.54958746736295,60.0,18.595687592309176,0.2305006203419553
-25.65,24.2,4.944,4944.0,5027.16,438.557232375979,197.75723237597913,58.0,23.203210888894816,0.2574779374120921
-25.67,24.22,6.023,6023.0,6103.64,438.9648772845953,197.96487728459536,60.0,28.61454617816795,0.28592979247244765
-25.69,24.24,7.297,7297.0,7380.999999999999,439.37252219321147,198.17252219321153,61.0,35.0282037135246,0.3163551517498043
-25.71,24.26,8.196,8196.0,8282.1,439.7801671018276,198.38016710182774,59.0,39.53177350068841,0.33607725940277655
-25.73,24.28,8.566,8566.0,8653.36,440.18781201044385,198.5878120104439,54.0,41.35788649284085,0.34375193087391565
-25.75,24.3,8.827,8827.0,8916.460000000001,440.59545691906,198.7954569190601,59.0,42.63610785900356,0.3490235680089877
-25.77,24.32,9.071,9071.0,9162.140000000001,441.0031018276762,199.0031018276763,62.0,43.82412544365394,0.3538527758572319
-25.79,24.34,9.237,9237.0,9328.98,441.41074673629237,199.21074673629246,67.0,44.61390461544091,0.35702702825032695
-25.81,24.36,9.325,9325.0,9417.820000000002,441.8183916449085,199.41839164490864,71.0,45.010901624049175,0.35861201327996794
-25.83,24.38,9.431,9431.0,9524.240000000002,442.22603655352475,199.62603655352484,73.0,45.49513740914932,0.3605358607452021
-25.85,24.4,9.633,9633.0,9726.66,442.633681462141,199.83368146214104,76.0,46.458766363150545,0.3643340945700037
-25.87,24.42,10.022,10022.0,10116.08,443.04132637075713,200.04132637075725,81.0,48.35520164319047,0.37169573441262976
-25.89,24.44,10.592,10592.0,10686.08,443.4489712793733,200.24897127937342,86.0,51.1494813845052,0.38228441687348513
-25.91,24.46,11.054,11054.0,11148.5,443.8566161879895,200.4566161879896,91.0,53.40129743471835,0.3906086731343362
-25.93,24.48,11.165,11165.0,11259.5,444.26426109660565,200.6642610966058,95.0,53.89716972917572,0.39241803413188164
-25.95,24.5,11.141,11141.0,11235.5,444.6719060052219,200.87190600522197,97.0,53.719946749120076,0.39177233457754906
